post_id,run_id,scraped_at,price,year,make,model,mileage,transmission,fuel,color,city,state,cylinders,source_txt
7914351741,20260302210026,2026-03-02T21:00:26Z,8550,2014,Jeep,Cherokee,114065,,,,,,,scrapes/20260302210026/7914351741.txt
7914658826,20260305110042,2026-03-05T11:00:42Z,6800,2000,Jeep,Cherokee,244000,,,,,,,scrapes/20260305110042/7914658826.txt
7914674958,20260305110042,2026-03-05T11:00:42Z,5885,2014,Volvo,S60 T5 AWD Sport Sedan,143000,,,,,,,scrapes/20260305110042/7914674958.txt
7914681045,20260304190006,2026-03-04T19:00:06Z,7200,2015,honda,civic ex-l,173000,,,,,,,scrapes/20260304190006/7914681045.txt
7914781811,20260305110042,2026-03-05T11:00:42Z,12800,2014,Mazda,CX-5,99800,,,,,,,scrapes/20260305110042/7914781811.txt
7914820691,20260305100036,2026-03-05T10:00:36Z,27000,1995,chevrolet,corvette zr1,79240,,,,,,,scrapes/20260305100036/7914820691.txt
7914855000,20260305000039,2026-03-05T00:00:39Z,7000,2017,toyota,yaris ia,84980,,,,,,,scrapes/20260305000039/7914855000.txt
7914877915,20260304150038,2026-03-04T15:00:38Z,6600,2001,dodge,ram 3500,171250,,,,,,,scrapes/20260304150038/7914877915.txt
7915006177,20260305200040,2026-03-05T20:00:40Z,7500,2019,Chevy,Cruze LT,78459,,,,,,,scrapes/20260305200040/7915006177.txt
7915032216,20260305200040,2026-03-05T20:00:40Z,3288,2002,Dodge,Neon,150000,,,,,,,scrapes/20260305200040/7915032216.txt
7915100188,20260303090005,2026-03-03T09:00:05Z,3600,2010,jeep,grand cherokee laredo,174000,,,,,,,scrapes/20260303090005/7915100188.txt
7915101034,20260306020040,2026-03-06T02:00:40Z,21500,1993,pontiac,firebird trans am,118000,,,,,,,scrapes/20260306020040/7915101034.txt
7915154870,20260307210035,2026-03-07T21:00:35Z,20995,2022,Honda,Accord,59285,,,,,,,scrapes/20260307210035/7915154870.txt
7915330422,20260308190034,2026-03-08T19:00:34Z,26295,2021,Lexus,Nx,47546,,,,,,,scrapes/20260308190034/7915330422.txt
7915366655,20260309180030,2026-03-09T18:00:30Z,4800,2011,Hyundai,Elantra GLS,110000,,,,,,,scrapes/20260309180030/7915366655.txt
7915399261,20260309130005,2026-03-09T13:00:05Z,,2002,Dodge,Neon,150000,,,,,,,scrapes/20260309130005/7915399261.txt
7915606402,20260311140035,2026-03-11T14:00:35Z,9499,2016,Toyota,Prius Two,173177,,,,,,,scrapes/20260311140035/7915606402.txt
7915610960,20260311190034,2026-03-11T19:00:34Z,13500,2017,Ram,ProMaster 2500,173128,,,,,,,scrapes/20260311190034/7915610960.txt
7915848987,20260312140046,2026-03-12T14:00:46Z,3288,2007,ford,focus,185000,,,,,,,scrapes/20260312140046/7915848987.txt
7916221821,20260311210035,2026-03-11T21:00:35Z,3500,1999,Ford,Mustang V6,119000,,,,,,,scrapes/20260311210035/7916221821.txt
7916329599,20260312160005,2026-03-12T16:00:05Z,4200,2006,Jeep,Grand Cherokee,97000,,,,,,,scrapes/20260312160005/7916329599.txt
7916392353,20260312120014,2026-03-12T12:00:14Z,4900,2006,Honda,Odyssey EX,150000,,,,,,,scrapes/20260312120014/7916392353.txt
7916438388,20260310150005,2026-03-10T15:00:05Z,29500,2019,Ford,F-250 Super Duty,43000,,,,,,,scrapes/20260310150005/7916438388.txt
7916481977,20260312220005,2026-03-12T22:00:05Z,12500,1983,ford,f-250,80000,,,,,,,scrapes/20260312220005/7916481977.txt
7916558899,20260311210035,2026-03-11T21:00:35Z,2800,2010,Nissan,Maxima,178542,,,,,,,scrapes/20260311210035/7916558899.txt
7916562598,20260313140005,2026-03-13T14:00:05Z,10000,2013,jeep,wrangler,102000,,,,,,,scrapes/20260313140005/7916562598.txt
7916635848,20260307090038,2026-03-07T09:00:38Z,6900,2015,Subaru,Forester,150818,,,,,,,scrapes/20260307090038/7916635848.txt
7916809988,20260314110025,2026-03-14T11:00:25Z,8300,1998,Ford,Ranger,182000,,,,,,,scrapes/20260314110025/7916809988.txt
